TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],HOST_s,KEY_s,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],VALUE_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_githash,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",8dc29b34937cdba2d1ace1e9fc6e2ccfe650e6aa,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_time,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",19-04-2024 14:42,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,clocksource.current_clocksource,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",tsc,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,ssfs_masterkey_changed,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",01-10-2024 15:55,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,sap_retrieval_path_shared,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",no,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_branch,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",fa/hana2sp07,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net.ipv4.tcp_tw_reuse,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",0,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_clock,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",2121,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,async_io_limit,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",18446744073709551615,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_ip_addresses,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM","10.8.0.20,10.8.0.21,10.8.0.7","4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
